font_label,font_file,position,status,store_id,font_image
DiplomataSC Regular,productdesigner/fonts/DiplomataSC-Regular.ttf,0,1,0,
DoHyeon Regular,productdesigner/fonts/DoHyeon-Regular.ttf,0,1,0,
Dokdo Regular,productdesigner/fonts/Dokdo-Regular.ttf,0,1,0,
Domine Regular,productdesigner/fonts/Domine-Regular.ttf,0,1,0,
DoppioOne Regular,productdesigner/fonts/DoppioOne-Regular.ttf,0,1,0,
Dosis Regular,productdesigner/fonts/Dosis-Regular.ttf,0,1,0,
DrSugiyama Regular,productdesigner/fonts/DrSugiyama-Regular.ttf,0,1,0,
DuruSans Regular,productdesigner/fonts/DuruSans-Regular.ttf,0,1,0,
EagleLake Regular,productdesigner/fonts/EagleLake-Regular.ttf,0,1,0,
Eater Regular,productdesigner/fonts/Eater-Regular.ttf,0,1,0,
EBGaramond Regular,productdesigner/fonts/EBGaramond-Regular.ttf,0,1,0,
Eczar Regular,productdesigner/fonts/Eczar-Regular.ttf,0,1,0,
Electrolize Regular,productdesigner/fonts/Electrolize-Regular.ttf,0,1,0,
ElMessiri Regular,productdesigner/fonts/ElMessiri-Regular.ttf,0,1,0,
Elsie Regular,productdesigner/fonts/Elsie-Regular.ttf,0,1,0,
ElsieSwashCaps Regular,productdesigner/fonts/ElsieSwashCaps-Regular.ttf,0,1,0,
EmblemaOne Regular,productdesigner/fonts/EmblemaOne-Regular.ttf,0,1,0,
EmilysCandy Regular,productdesigner/fonts/EmilysCandy-Regular.ttf,0,1,0,
EncodeSans Regular,productdesigner/fonts/EncodeSans-Regular.ttf,0,1,0,
EncodeSansCondensed Regular,productdesigner/fonts/EncodeSansCondensed-Regular.ttf,0,1,0,
EncodeSansExpanded Regular,productdesigner/fonts/EncodeSansExpanded-Regular.ttf,0,1,0,
EncodeSansSemiCondensed Regular,productdesigner/fonts/EncodeSansSemiCondensed-Regular.ttf,0,1,0,
EncodeSansSemiExpanded Regular,productdesigner/fonts/EncodeSansSemiExpanded-Regular.ttf,0,1,0,
Englebert Regular,productdesigner/fonts/Englebert-Regular.ttf,0,1,0,
EricaOne Regular,productdesigner/fonts/EricaOne-Regular.ttf,0,1,0,
EuphoriaScript Regular,productdesigner/fonts/EuphoriaScript-Regular.ttf,0,1,0,
Ewert Regular,productdesigner/fonts/Ewert-Regular.ttf,0,1,0,
Exo Regular,productdesigner/fonts/Exo-Regular.ttf,0,1,0,
Exo2 Regular,productdesigner/fonts/Exo2-Regular.ttf,0,1,0,
ExpletusSans Regular,productdesigner/fonts/ExpletusSans-Regular.ttf,0,1,0,
FanwoodText Regular,productdesigner/fonts/FanwoodText-Regular.ttf,0,1,0,
Farsan Regular,productdesigner/fonts/Farsan-Regular.ttf,0,1,0,
Fascinate Regular,productdesigner/fonts/Fascinate-Regular.ttf,0,1,0,
FascinateInline Regular,productdesigner/fonts/FascinateInline-Regular.ttf,0,1,0,
Fasthand Regular,productdesigner/fonts/Fasthand-Regular.ttf,0,1,0,
FaunaOne Regular,productdesigner/fonts/FaunaOne-Regular.ttf,0,1,0,
Faustina Regular,productdesigner/fonts/Faustina-Regular.ttf,0,1,0,
Federant Regular,productdesigner/fonts/Federant-Regular.ttf,0,1,0,
Federo Regular,productdesigner/fonts/Federo-Regular.ttf,0,1,0,
Felipa Regular,productdesigner/fonts/Felipa-Regular.ttf,0,1,0,
Fenix Regular,productdesigner/fonts/Fenix-Regular.ttf,0,1,0,
FingerPaint Regular,productdesigner/fonts/FingerPaint-Regular.ttf,0,1,0,
FiraSans Regular,productdesigner/fonts/FiraSans-Regular.ttf,0,1,0,
FiraSansCondensed Regular,productdesigner/fonts/FiraSansCondensed-Regular.ttf,0,1,0,
FiraSansExtraCondensed Regular,productdesigner/fonts/FiraSansExtraCondensed-Regular.ttf,0,1,0,
FjallaOne Regular,productdesigner/fonts/FjallaOne-Regular.ttf,0,1,0,
FjordOne Regular,productdesigner/fonts/FjordOne-Regular.ttf,0,1,0,
Flavors Regular,productdesigner/fonts/Flavors-Regular.ttf,0,1,0,
FontdinerSwanky Regular,productdesigner/fonts/FontdinerSwanky-Regular.ttf,0,1,0,
Forum Regular,productdesigner/fonts/Forum-Regular.ttf,0,1,0,
FrancoisOne Regular,productdesigner/fonts/FrancoisOne-Regular.ttf,0,1,0,
FrankRuhlLibre Regular,productdesigner/fonts/FrankRuhlLibre-Regular.ttf,0,1,0,
FreckleFace Regular,productdesigner/fonts/FreckleFace-Regular.ttf,0,1,0,
FrederickatheGreat Regular,productdesigner/fonts/FrederickatheGreat-Regular.ttf,0,1,0,
Freehand,productdesigner/fonts/Freehand.ttf,0,1,0,
Fresca Regular,productdesigner/fonts/Fresca-Regular.ttf,0,1,0,
Frijole Regular,productdesigner/fonts/Frijole-Regular.ttf,0,1,0,
Fruktur Regular,productdesigner/fonts/Fruktur-Regular.ttf,0,1,0,
FugazOne Regular,productdesigner/fonts/FugazOne-Regular.ttf,0,1,0,
Gabriela Regular,productdesigner/fonts/Gabriela-Regular.ttf,0,1,0,
Gaegu Regular,productdesigner/fonts/Gaegu-Regular.ttf,0,1,0,
